Run,Assay Type,HOST,isolation_source,Library Name,Sample Name,LibraryLayout,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,lat_lon,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,SRA Study
SRR8061786,AMPLICON,Homo sapiens,feces,NC12,AD01,PAIRED,601,25991308,PRJNA496408,SAMN10240677,Metagenome or environmental,17293339,ZHEJIANG UNIVERSITY,2017-01-15,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4891220,China,Asia,China:Hangzhou,Illumina MiSeq,30.3 N 120.2 E,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-11-15T00:00:00Z,2018-10-16T06:23:00Z,1,SRP165827
SRR8061787,AMPLICON,Homo sapiens,feces,NC13,AD01,PAIRED,601,30321969,PRJNA496408,SAMN10240677,Metagenome or environmental,19991369,ZHEJIANG UNIVERSITY,2017-01-15,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4891219,China,Asia,China:Hangzhou,Illumina MiSeq,30.3 N 120.2 E,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-11-15T00:00:00Z,2018-10-16T06:23:00Z,1,SRP165827
SRR8061778,AMPLICON,Homo sapiens,feces,NC14,AD01,PAIRED,601,22070522,PRJNA496408,SAMN10240677,Metagenome or environmental,13286858,ZHEJIANG UNIVERSITY,2017-01-15,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4891228,China,Asia,China:Hangzhou,Illumina MiSeq,30.3 N 120.2 E,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-11-15T00:00:00Z,2018-10-16T06:23:00Z,1,SRP165827
SRR8061779,AMPLICON,Homo sapiens,feces,NC15,AD01,PAIRED,601,26280670,PRJNA496408,SAMN10240677,Metagenome or environmental,17215418,ZHEJIANG UNIVERSITY,2017-01-15,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4891227,China,Asia,China:Hangzhou,Illumina MiSeq,30.3 N 120.2 E,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-11-15T00:00:00Z,2018-10-16T06:23:00Z,1,SRP165827
SRR8061746,AMPLICON,Homo sapiens,feces,NC16,AD01,PAIRED,601,18860587,PRJNA496408,SAMN10240677,Metagenome or environmental,12823410,ZHEJIANG UNIVERSITY,2017-01-15,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4891260,China,Asia,China:Hangzhou,Illumina MiSeq,30.3 N 120.2 E,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-11-15T00:00:00Z,2018-10-16T06:23:00Z,1,SRP165827
SRR8061745,AMPLICON,Homo sapiens,feces,NC17,AD01,PAIRED,601,29949757,PRJNA496408,SAMN10240677,Metagenome or environmental,19082221,ZHEJIANG UNIVERSITY,2017-01-15,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4891261,China,Asia,China:Hangzhou,Illumina MiSeq,30.3 N 120.2 E,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-11-15T00:00:00Z,2018-10-16T06:23:00Z,1,SRP165827
SRR8061748,AMPLICON,Homo sapiens,feces,NC18,AD01,PAIRED,601,27370045,PRJNA496408,SAMN10240677,Metagenome or environmental,17821145,ZHEJIANG UNIVERSITY,2017-01-15,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4891258,China,Asia,China:Hangzhou,Illumina MiSeq,30.3 N 120.2 E,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-11-15T00:00:00Z,2018-10-16T06:23:00Z,1,SRP165827
SRR8061747,AMPLICON,Homo sapiens,feces,NC20,AD01,PAIRED,601,30369141,PRJNA496408,SAMN10240677,Metagenome or environmental,19943681,ZHEJIANG UNIVERSITY,2017-01-15,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4891259,China,Asia,China:Hangzhou,Illumina MiSeq,30.3 N 120.2 E,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-11-15T00:00:00Z,2018-10-16T06:23:00Z,1,SRP165827
SRR8061750,AMPLICON,Homo sapiens,feces,NC22,AD01,PAIRED,601,21532398,PRJNA496408,SAMN10240677,Metagenome or environmental,14192729,ZHEJIANG UNIVERSITY,2017-01-15,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4891256,China,Asia,China:Hangzhou,Illumina MiSeq,30.3 N 120.2 E,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-11-15T00:00:00Z,2018-10-16T06:23:00Z,1,SRP165827
SRR8061749,AMPLICON,Homo sapiens,feces,NC23,AD01,PAIRED,601,26766392,PRJNA496408,SAMN10240677,Metagenome or environmental,17766315,ZHEJIANG UNIVERSITY,2017-01-15,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4891257,China,Asia,China:Hangzhou,Illumina MiSeq,30.3 N 120.2 E,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-11-15T00:00:00Z,2018-10-16T06:23:00Z,1,SRP165827
SRR8061752,AMPLICON,Homo sapiens,feces,NC26,AD01,PAIRED,601,36276504,PRJNA496408,SAMN10240677,Metagenome or environmental,23650336,ZHEJIANG UNIVERSITY,2017-01-15,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4891254,China,Asia,China:Hangzhou,Illumina MiSeq,30.3 N 120.2 E,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-11-15T00:00:00Z,2018-10-16T06:23:00Z,1,SRP165827
